Country.name,iso3,"Very or moderately concerned about COVID-19 vaccine side effects, among unvaccinated",Less.than.secondary.education,Secondary.education,At.least.Second,Four.year.degree,Postgraduate.education,COVID.19.deaths.per.100.000.population.in.2020,Index.of.institutional.trust,Gini.coefficient.of.income,Regional.indicator,Ladder.score,Logged.GDP.per.capita,Social.support,Healthy.life.expectancy,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Ladder.score.in.Dystopia,Explained.by..Log.GDP.per.capita,Explained.by..Social.support,Explained.by..Healthy.life.expectancy,Explained.by..Freedom.to.make.life.choices,Explained.by..Generosity,Explained.by..Perceptions.of.corruption
Russia,RUS,74.60589183,0.066650017,0.128655395,0.195305412,0.689185881,0.115508707,38.5591011,0.195937231,34.56,Commonwealth of Independent States,5.477200031,10.18874168,0.902866185,64.70291138,0.718050778,-0.111447521,0.844619274,2.430342913,1.24146378,0.991885662,0.511002481,0.409223914,0.115271725,0.060407799
Serbia,SRB,57.94234215,0.415058807,0.155758818,0.570817625,0.351740366,0.077442009,47.18869781,0.220901221,37.8,Central and Eastern Europe,6.077899933,9.786623955,0.872645557,68.60033417,0.777561903,0.002192957,0.835297763,2.430342913,1.100975275,0.923801601,0.633751571,0.481639057,0.189403892,0.066352352
South Africa,ZAF,61.94799901,0.106561404,0.384455439,0.491016844,0.385994525,0.122988631,48.00139999,0.192737773,65.426,Sub-Saharan Africa,4.956399918,9.402575493,0.859681964,56.90396881,0.749382138,-0.066996753,0.859583437,2.430342913,0.966799676,0.894595921,0.265375316,0.447348982,0.144268721,0.050864778
Spain,ESP,57.51154591,0.262443205,0.147975024,0.410418228,0.475784431,0.113797341,108.731102,0.143273652,33.2,Western Europe,6.490699768,10.57085037,0.93158114,74.69999695,0.761367261,-0.081138678,0.745278358,2.430342913,1.374961734,1.056577563,0.825860023,0.461932868,0.135043383,0.123759955
Sweden,SWE,45.34204519,0.441639775,0.195929132,0.637568908,0.328988149,0.033442943,86.41220093,0.450581521,27,Western Europe,7.362699986,10.86699486,0.933805227,72.70005035,0.944604099,0.086222932,0.237460002,2.430342913,1.478426218,1.061588287,0.762871861,0.684901655,0.244219974,0.447608262
Switzerland,CHE,73.8458417,0.308441032,0.369730734,0.678171766,0.237113486,0.084714748,88.33430481,0.66000104,30.1,Western Europe,7.571499825,11.11736774,0.941741824,74.40010071,0.918788195,0.024629194,0.291698486,2.430342913,1.565899372,1.079468608,0.816414833,0.653487921,0.204039961,0.413019061
Thailand,THA,61.96477307,0.208797012,0.306344007,0.515141018,0.42156568,0.063293302,0.090300001,0.353829116,35.315,Southeast Asia,5.984700203,9.804679871,0.887529016,67.40110016,0.884037971,0.287391394,0.895368218,2.430342913,1.107283473,0.957332551,0.595981777,0.611202717,0.375450134,0.028043941
United Kingdom,GBR,64.40828345,0.142633413,0.198870023,0.341503436,0.51006492,0.148431643,108.449501,0.267582208,34.07,Western Europe,7.063600063,10.70714283,0.933983803,72.50009155,0.858679473,0.23341994,0.459456623,2.430342913,1.422578454,1.061990499,0.756574154,0.580345631,0.340242416,0.306035548
Tunisia,TUN,43.09396546,0.094724576,0.194370032,0.289094608,0.598492724,0.112412668,39.56470108,0.12942259,32.82,Middle East and North Africa,4.59649992,9.26580143,0.690981209,67.20076752,0.655902028,-0.200571224,0.869961798,2.430342913,0.919014692,0.514530003,0.589672267,0.33359924,0.057132803,0.044246241
Turkey,TUR,75.20324701,0.243812618,0.337959189,0.581771808,0.363912957,0.054315235,24.75839996,0.295031607,40.55,Middle East and North Africa,4.947599888,10.24047089,0.821776927,67.19887543,0.575805247,-0.139463261,0.775604248,2.430342913,1.259536505,0.809199691,0.589612722,0.236134768,0.096995942,0.104420386
Ukraine,UKR,71.37690281,0.06639686,0.160762766,0.227159626,0.696363082,0.076477292,44.08720016,0.059068583,25,Commonwealth of Independent States,4.874800205,9.436073303,0.88792038,64.90174866,0.724446893,-0.011032506,0.9238168,2.430342913,0.97850287,0.958214283,0.517264843,0.41700694,0.180776417,0.009901578
Uzbekistan,UZB,66.03627192,0.082013057,0.120152072,0.202165129,0.677336015,0.120498856,1.834499955,0.434860617,39.7,Commonwealth of Independent States,6.178800106,8.836421013,0.918469012,65.25531006,0.97013098,0.310706139,0.515089393,2.430342913,0.769001365,1.027037263,0.528400242,0.715963662,0.390659243,0.270557135
Venezuela,VEN,56.52969392,0.284902257,0.187461676,0.472363933,0.438500127,0.08913594,3.615100145,0.120158873,37.8,Latin America and Caribbean,4.892199993,9.073103905,0.860926807,66.69985962,0.615380347,-0.168757051,0.826655865,2.430342913,0.851691663,0.897400439,0.573896229,0.284291089,0.077886447,0.07186351
Vietnam,VNM,40.91868121,0.170432636,0.340397043,0.510829679,0.4313449,0.057825421,0.036000002,0.490133494,40.1,Southeast Asia,5.41079998,8.973156929,0.849987149,68.03413391,0.939592957,-0.097614333,0.79642123,2.430342913,0.816773057,0.872754514,0.615919113,0.678803861,0.124295659,0.091144882
Yemen,YEM,47.19289295,0.206999896,0.108266452,0.315266348,0.509310181,0.175423471,2.045199871,0.26690653,36.71,Middle East and North Africa,3.657900095,7.578436852,0.831537426,57.12157059,0.602156579,-0.146712229,0.800287724,2.430342913,0.329497486,0.831189096,0.272228658,0.26819995,0.092267156,0.08867912
